City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
47,Arlit,16,NE,1611965997,31,18.7369,7.3853,57.67,2.68
48,Praia,0,CV,1611965998,68,14.9215,-23.5087,71.6,19.57
49,Flinders,97,AU,1611965998,97,-34.5833,150.8552,73.0,8.99
50,Coffs Harbour,90,AU,1611965947,73,-30.3,153.1333,77.0,9.22
51,Ladário,75,BR,1611965998,83,-19.0047,-57.6017,82.4,4.61
52,Nānākuli,75,US,1611965998,51,21.3906,-158.1547,82.4,9.22
53,Hay River,9,CA,1611965705,76,60.8156,-115.7999,-16.6,1.14
54,San Quintín,33,MX,1611965999,67,30.4833,-115.95,59.0,14.72
55,Nome,40,US,1611965999,60,64.5011,-165.4064,-0.4,20.71
56,Hambantota,93,LK,1611965999,82,6.1241,81.1185,75.47,8.61
57,Khatanga,0,RU,1611965999,74,71.9667,102.5,-43.08,3.89
58,Bluff,66,NZ,1611965823,69,-46.6,168.3333,54.28,7.14
59,Dikson,98,RU,1611966000,85,73.5069,80.5464,-32.62,7.54
60,Barrow,90,US,1611965754,77,71.2906,-156.7887,-11.2,10.36
61,Sheridan,90,US,1611966000,60,44.8333,-106.9173,42.01,10.36
62,Fomboni,31,KM,1611966000,73,-12.28,43.7425,83.53,12.48
63,Provideniya,74,RU,1611966001,81,64.3833,-173.3,-5.84,6.11
64,Sovetskoye,100,RU,1611966001,95,52.2861,85.4131,23.29,12.12
65,Ribeira Grande,6,PT,1611966001,81,38.5167,-28.7,60.6,19.6
66,Luwuk,100,ID,1611966003,60,-0.9516,122.7875,81.84,1.95
67,Hasaki,20,JP,1611966003,33,35.7333,140.8333,39.2,14.97
68,Torbay,90,CA,1611966003,93,47.6666,-52.7314,28.0,24.16
69,Tiksi,100,RU,1611966003,84,71.6872,128.8694,-32.21,4.0
70,Trofors,90,NO,1611966004,93,65.5333,13.4063,26.6,9.22
71,Rantepao,100,ID,1611966004,80,-2.9701,119.8978,72.25,0.87
72,Tuktoyaktuk,20,CA,1611966004,74,69.4541,-133.0374,-36.4,2.3
73,Castro,99,BR,1611965863,97,-24.7911,-50.0119,65.35,4.03
74,Polewali,100,ID,1611966005,72,-3.4324,119.3435,80.46,1.5
75,Werda,79,BW,1611966005,72,-25.2667,23.2833,72.97,1.34
76,Øksfjord,90,NO,1611966005,73,70.2396,22.3479,17.6,5.75
